id;name;description;price;size;image;image_content_type;product_category_id
1;mobile Fish;Home Loan Account Table Computer;5808;L;../fake-data/blob/hipster.png;image/png;1
2;deposit Tasty Metal Bacon Implementation;Chips;18340;XL;../fake-data/blob/hipster.png;image/png;2
3;Home Namibia;Steel zero administration;36636;M;../fake-data/blob/hipster.png;image/png;3
4;Savings Account syndicate Planner;Refined Rubber Chicken Table;6505;M;../fake-data/blob/hipster.png;image/png;4
5;South Dakota envisioneer Music;Nakfa;44015;XL;../fake-data/blob/hipster.png;image/png;5
6;incentivize Tuna copy;Costa Rica Mayotte;18485;M;../fake-data/blob/hipster.png;image/png;6
7;Views e-enable Communications;National Awesome sky blue;4522;L;../fake-data/blob/hipster.png;image/png;7
8;Louisiana Specialist Home Loan Account;Plastic;80219;XL;../fake-data/blob/hipster.png;image/png;8
9;deliverables reinvent 24 hour;overriding;70685;XXL;../fake-data/blob/hipster.png;image/png;9
10;Internal;Investment Account archive Fantastic Plastic Chicken;32518;XXL;../fake-data/blob/hipster.png;image/png;10
