id;placed_date;status;total_price;payment_method;customer_details_id
1;2020-09-28T01:25:23;PAID;27993;CREDIT_CARD;1
2;2020-09-28T05:16:08;CANCELLED;24773;IDEAL;2
3;2020-09-28T18:13:40;COMPLETED;85546;IDEAL;3
4;2020-09-28T06:46:28;CANCELLED;39850;IDEAL;4
5;2020-09-28T03:19:52;COMPLETED;85648;CREDIT_CARD;5
6;2020-09-28T16:52:46;PENDING;94023;CREDIT_CARD;6
7;2020-09-28T07:34:31;COMPLETED;96119;IDEAL;7
8;2020-09-28T16:54:31;PENDING;1822;CREDIT_CARD;8
9;2020-09-28T02:10:52;CANCELLED;2327;IDEAL;9
10;2020-09-28T15:44:14;PENDING;73507;IDEAL;10
